run,experiment,attention,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
lowest_lr_attnTrue_pca8,lowest_lr,True,8,0.2,0.1,0.0001,0.001,0.25625,0.0,0.0,
lowest_lr_attnTrue_pcaNone,lowest_lr,True,,0.2,0.1,0.0001,0.001,0.3416666666666667,0.0,0.0,
lowest_lr_attnFalse_pca2,lowest_lr,False,2,0.2,0.1,0.0001,0.001,0.24791666666666665,0.0,0.0,
lowest_lr_attnFalse_pca4,lowest_lr,False,4,0.2,0.1,0.0001,0.001,0.16180555555555554,0.0,0.0,
lowest_lr_attnFalse_pca8,lowest_lr,False,8,0.2,0.1,0.0001,0.001,0.19513888888888886,0.0,0.0,
lowest_lr_attnFalse_pcaNone,lowest_lr,False,,0.2,0.1,0.0001,0.001,0.32152777777777775,0.0,0.0,
higher_lambda_entropy_attnTrue_pca2,higher_lambda_entropy,True,2,0.2,0.1,0.001,0.01,0.34791666666666665,0.0,0.0,
higher_lambda_entropy_attnTrue_pca4,higher_lambda_entropy,True,4,0.2,0.1,0.001,0.01,0.44027777777777777,0.0,0.0,
higher_lambda_entropy_attnTrue_pca8,higher_lambda_entropy,True,8,0.2,0.1,0.001,0.01,0.34652777777777777,0.0,0.0,
higher_lambda_entropy_attnTrue_pcaNone,higher_lambda_entropy,True,,0.2,0.1,0.001,0.01,0.6187499999999999,0.0,0.0,
higher_lambda_entropy_attnFalse_pca2,higher_lambda_entropy,False,2,0.2,0.1,0.001,0.01,0.39305555555555555,0.0,0.0,
higher_lambda_entropy_attnFalse_pca4,higher_lambda_entropy,False,4,0.2,0.1,0.001,0.01,0.3833333333333333,0.0,0.0,
higher_lambda_entropy_attnFalse_pca8,higher_lambda_entropy,False,8,0.2,0.1,0.001,0.01,0.3111111111111111,0.0,0.0,
higher_lambda_entropy_attnFalse_pcaNone,higher_lambda_entropy,False,,0.2,0.1,0.001,0.01,0.5923611111111111,0.0,0.0,
highest_lambda_entropy_attnTrue_pca2,highest_lambda_entropy,True,2,0.2,0.1,0.001,0.1,0.35624999999999996,0.0,0.0,
highest_lambda_entropy_attnTrue_pca4,highest_lambda_entropy,True,4,0.2,0.1,0.001,0.1,0.4576388888888889,0.0,0.0,
highest_lambda_entropy_attnTrue_pca8,highest_lambda_entropy,True,8,0.2,0.1,0.001,0.1,0.5986111111111111,0.0,0.0,
highest_lambda_entropy_attnTrue_pcaNone,highest_lambda_entropy,True,,0.2,0.1,0.001,0.1,0.5645833333333332,0.0,0.0,
highest_lambda_entropy_attnFalse_pca2,highest_lambda_entropy,False,2,0.2,0.1,0.001,0.1,0.34791666666666665,0.0,0.0,
highest_lambda_entropy_attnFalse_pca4,highest_lambda_entropy,False,4,0.2,0.1,0.001,0.1,0.3993055555555555,0.0,0.0,
highest_lambda_entropy_attnFalse_pca8,highest_lambda_entropy,False,8,0.2,0.1,0.001,0.1,0.5034722222222222,0.0,0.0,
highest_lambda_entropy_attnFalse_pcaNone,highest_lambda_entropy,False,,0.2,0.1,0.001,0.1,0.6076388888888888,0.0,0.0,
dropout_wd_attnTrue_pca2,dropout_wd,True,2,0.4,0.5,0.001,0.001,0.24791666666666662,0.0,0.0,
dropout_wd_attnTrue_pca4,dropout_wd,True,4,0.4,0.5,0.001,0.001,0.31319444444444444,0.0,0.0,
dropout_wd_attnTrue_pca8,dropout_wd,True,8,0.4,0.5,0.001,0.001,0.3902777777777778,0.0,0.0,
dropout_wd_attnTrue_pcaNone,dropout_wd,True,,0.4,0.5,0.001,0.001,0.25555555555555554,0.0,0.0,
dropout_wd_attnFalse_pca2,dropout_wd,False,2,0.4,0.5,0.001,0.001,0.23263888888888887,0.0,0.0,
dropout_wd_attnFalse_pca4,dropout_wd,False,4,0.4,0.5,0.001,0.001,0.34930555555555554,0.0,0.0,
dropout_wd_attnFalse_pca8,dropout_wd,False,8,0.4,0.5,0.001,0.001,0.24027777777777776,0.0,0.0,
