run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
higher_dropout_attnFalse_losshuber_pca2,higher_dropout,False,huber,2,0.4,0.1,0.001,0.001,0.2409722222222222,5.0916854567271335,1.1888557649217546,
higher_dropout_attnFalse_losshuber_pca4,higher_dropout,False,huber,4,0.4,0.1,0.001,0.001,0.3989583333333333,0.3609911086463409,0.4961043637692152,
higher_dropout_attnFalse_losshuber_pca8,higher_dropout,False,huber,8,0.4,0.1,0.001,0.001,0.2611111111111111,0.1398068298192524,0.2957549820809315,
higher_dropout_attnFalse_losshuber_pcaNone,higher_dropout,False,huber,,0.4,0.1,0.001,0.001,0.3845238095238095,0.4658977473733281,0.5084727813179294,
higher_dropout_attnFalse_lossmse_pca2,higher_dropout,False,mse,2,0.4,0.1,0.001,0.001,0.2638888888888889,0.6753042576572135,0.624342299454535,
higher_dropout_attnFalse_lossmse_pca4,higher_dropout,False,mse,4,0.4,0.1,0.001,0.001,0.3855654761904761,0.33673886879114734,0.425077439363425,
higher_dropout_attnFalse_lossmse_pca8,higher_dropout,False,mse,8,0.4,0.1,0.001,0.001,0.45972222222222225,0.09355822880358527,0.2444154229015112,
higher_dropout_attnFalse_lossmse_pcaNone,higher_dropout,False,mse,,0.4,0.1,0.001,0.001,0.27098214285714284,0.10019649124527605,0.2353009961079806,
higher_dropout_attnFalse_lossmae_pca2,higher_dropout,False,mae,2,0.4,0.1,0.001,0.001,0.3204861111111111,0.26617523229346346,0.4055720817608138,
higher_dropout_attnFalse_lossmae_pca4,higher_dropout,False,mae,4,0.4,0.1,0.001,0.001,0.34771825396825395,0.1524038818423676,0.29222280454511446,
higher_dropout_attnFalse_lossmae_pca8,higher_dropout,False,mae,8,0.4,0.1,0.001,0.001,0.31527777777777777,0.27422711980684,0.3471183171495795,
higher_dropout_attnFalse_lossmae_pcaNone,higher_dropout,False,mae,,0.4,0.1,0.001,0.001,0.3289682539682539,0.07427723903670108,0.1771685779094696,
highest_dropout_attnTrue_losshuber_pca2,highest_dropout,True,huber,2,0.5,0.1,0.001,0.001,0.3159722222222222,0.24545890824343913,0.4336896776609743,
highest_dropout_attnTrue_losshuber_pca4,highest_dropout,True,huber,4,0.5,0.1,0.001,0.001,0.23660714285714285,1.0044211462571893,0.6020352566071475,
highest_dropout_attnTrue_losshuber_pca8,highest_dropout,True,huber,8,0.5,0.1,0.001,0.001,0.3277777777777777,0.3347961553979445,0.41647047363221645,
highest_dropout_attnTrue_losshuber_pcaNone,highest_dropout,True,huber,,0.5,0.1,0.001,0.001,0.2503472222222222,0.2493224182778853,0.4077602899633348,
highest_dropout_attnTrue_lossmse_pca2,highest_dropout,True,mse,2,0.5,0.1,0.001,0.001,0.19791666666666666,0.2158248704778195,0.3320136078012486,
highest_dropout_attnTrue_lossmse_pca4,highest_dropout,True,mse,4,0.5,0.1,0.001,0.001,0.23402777777777778,0.3077349820437514,0.37525242039312917,
highest_dropout_attnTrue_lossmse_pca8,highest_dropout,True,mse,8,0.5,0.1,0.001,0.001,0.39459325396825395,0.09822664873481549,0.28075925377197564,
highest_dropout_attnTrue_lossmse_pcaNone,highest_dropout,True,mse,,0.5,0.1,0.001,0.001,0.19791666666666666,0.06407055269730896,0.18616575646835068,
highest_dropout_attnTrue_lossmae_pca2,highest_dropout,True,mae,2,0.5,0.1,0.001,0.001,0.2152777777777778,0.6087439591725692,0.5146073689684272,
highest_dropout_attnTrue_lossmae_pca4,highest_dropout,True,mae,4,0.5,0.1,0.001,0.001,0.41021825396825395,0.5585052696756265,0.3170892600513374,
highest_dropout_attnTrue_lossmae_pca8,highest_dropout,True,mae,8,0.5,0.1,0.001,0.001,0.39563492063492056,0.6584701934027092,0.4966174798707167,
highest_dropout_attnTrue_lossmae_pcaNone,highest_dropout,True,mae,,0.5,0.1,0.001,0.001,0.33159722222222215,0.13056879825838938,0.2946127661659072,
highest_dropout_attnFalse_losshuber_pca2,highest_dropout,False,huber,2,0.5,0.1,0.001,0.001,0.1845238095238095,0.1539671729051087,0.26592407654970884,
highest_dropout_attnFalse_losshuber_pca4,highest_dropout,False,huber,4,0.5,0.1,0.001,0.001,0.2222222222222222,0.10500868412767385,0.23728004346291223,
highest_dropout_attnFalse_losshuber_pca8,highest_dropout,False,huber,8,0.5,0.1,0.001,0.001,0.32291666666666663,0.13393208843971316,0.293891055121397,
highest_dropout_attnFalse_losshuber_pcaNone,highest_dropout,False,huber,,0.5,0.1,0.001,0.001,0.31805555555555554,0.1479046530037788,0.22896348622937998,
highest_dropout_attnFalse_lossmse_pca2,highest_dropout,False,mse,2,0.5,0.1,0.001,0.001,0.2123015873015873,1.6318711281063816,0.5655308078664044,
