region,cell_type,run,experiment,gene_encoder,attention,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
ITG,Microglia,geTrue_attnFalse_pca8_lowest_lr,lowest_lr,True,False,8,0.2625,0.0,0.0,0.2,0.1,0.0001,0.001,
ITG,Microglia,geTrue_attnFalse_pca8_higher_lambda_entropy,higher_lambda_entropy,True,False,8,0.28888888888888886,0.0,0.0,0.2,0.1,0.001,0.01,
ITG,Microglia,geTrue_attnFalse_pca8_highest_lambda_entropy,highest_lambda_entropy,True,False,8,0.26944444444444443,0.0,0.0,0.2,0.1,0.001,0.1,
ITG,Microglia,geTrue_attnFalse_pca8_dropout_wd,dropout_wd,True,False,8,0.35277777777777775,0.0,0.0,0.4,0.5,0.001,0.001,
ITG,Microglia,geTrue_attnFalse_pca8_dropout_lr,dropout_lr,True,False,8,0.38055555555555554,0.0,0.0,0.4,0.1,0.0005,0.001,
ITG,Microglia,geTrue_attnFalse_pca8_wd_lr,wd_lr,True,False,8,0.2993055555555556,0.0,0.0,0.2,0.5,0.0005,0.001,
ITG,Microglia,geTrue_attnFalse_pca8_all_moderate,all_moderate,True,False,8,0.39305555555555555,0.0,0.0,0.4,0.5,0.0005,0.01,
ITG,Microglia,geTrue_attnFalse_pca8_all_strong,all_strong,True,False,8,0.12152777777777778,0.0,0.0,0.5,1.0,0.0001,0.1,
ITG,Microglia,geTrue_attnFalse_pca16_baseline,baseline,True,False,16,0.30069444444444443,0.0,0.0,0.2,0.1,0.001,0.001,
ITG,Microglia,geTrue_attnFalse_pca16_higher_dropout,higher_dropout,True,False,16,0.3916666666666667,0.0,0.0,0.4,0.1,0.001,0.001,
ITG,Microglia,geTrue_attnFalse_pca16_highest_dropout,highest_dropout,True,False,16,0.24722222222222218,0.0,0.0,0.5,0.1,0.001,0.001,
ITG,Microglia,geTrue_attnFalse_pca16_higher_weight_decay,higher_weight_decay,True,False,16,0.3402777777777778,0.0,0.0,0.2,0.5,0.001,0.001,
