run,experiment,attention,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
lowest_lr_attnTrue_pca8,lowest_lr,True,8,0.2,0.1,0.0001,0.001,0.39791666666666664,0.0,0.0,
lowest_lr_attnTrue_pcaNone,lowest_lr,True,,0.2,0.1,0.0001,0.001,0.25277777777777777,0.0,0.0,
lowest_lr_attnFalse_pca2,lowest_lr,False,2,0.2,0.1,0.0001,0.001,0.31180555555555556,0.0,0.0,
lowest_lr_attnFalse_pca4,lowest_lr,False,4,0.2,0.1,0.0001,0.001,0.26249999999999996,0.0,0.0,
lowest_lr_attnFalse_pca8,lowest_lr,False,8,0.2,0.1,0.0001,0.001,0.2048611111111111,0.0,0.0,
lowest_lr_attnFalse_pcaNone,lowest_lr,False,,0.2,0.1,0.0001,0.001,0.22777777777777777,0.0,0.0,
higher_lambda_entropy_attnTrue_pca2,higher_lambda_entropy,True,2,0.2,0.1,0.001,0.01,0.35416666666666663,0.0,0.0,
higher_lambda_entropy_attnTrue_pca4,higher_lambda_entropy,True,4,0.2,0.1,0.001,0.01,0.4125,0.0,0.0,
higher_lambda_entropy_attnTrue_pca8,higher_lambda_entropy,True,8,0.2,0.1,0.001,0.01,0.404861111111111,0.0,0.0,
higher_lambda_entropy_attnTrue_pcaNone,higher_lambda_entropy,True,,0.2,0.1,0.001,0.01,0.5930555555555556,0.0,0.0,
higher_lambda_entropy_attnFalse_pca2,higher_lambda_entropy,False,2,0.2,0.1,0.001,0.01,0.4236111111111111,0.0,0.0,
higher_lambda_entropy_attnFalse_pca4,higher_lambda_entropy,False,4,0.2,0.1,0.001,0.01,0.3770833333333333,0.0,0.0,
higher_lambda_entropy_attnFalse_pca8,higher_lambda_entropy,False,8,0.2,0.1,0.001,0.01,0.5104166666666666,0.0,0.0,
higher_lambda_entropy_attnFalse_pcaNone,higher_lambda_entropy,False,,0.2,0.1,0.001,0.01,0.60625,0.0,0.0,
highest_lambda_entropy_attnTrue_pca2,highest_lambda_entropy,True,2,0.2,0.1,0.001,0.1,0.2673611111111111,0.0,0.0,
highest_lambda_entropy_attnTrue_pca4,highest_lambda_entropy,True,4,0.2,0.1,0.001,0.1,0.4458333333333333,0.0,0.0,
highest_lambda_entropy_attnTrue_pca8,highest_lambda_entropy,True,8,0.2,0.1,0.001,0.1,0.4618055555555555,0.0,0.0,
highest_lambda_entropy_attnTrue_pcaNone,highest_lambda_entropy,True,,0.2,0.1,0.001,0.1,0.6527777777777777,0.0,0.0,
highest_lambda_entropy_attnFalse_pca2,highest_lambda_entropy,False,2,0.2,0.1,0.001,0.1,0.43263888888888885,0.0,0.0,
highest_lambda_entropy_attnFalse_pca4,highest_lambda_entropy,False,4,0.2,0.1,0.001,0.1,0.4222222222222222,0.0,0.0,
highest_lambda_entropy_attnFalse_pca8,highest_lambda_entropy,False,8,0.2,0.1,0.001,0.1,0.5125,0.0,0.0,
highest_lambda_entropy_attnFalse_pcaNone,highest_lambda_entropy,False,,0.2,0.1,0.001,0.1,0.5111111111111111,0.0,0.0,
dropout_wd_attnTrue_pca2,dropout_wd,True,2,0.4,0.5,0.001,0.001,0.38958333333333334,0.0,0.0,
dropout_wd_attnTrue_pca4,dropout_wd,True,4,0.4,0.5,0.001,0.001,0.2909722222222222,0.0,0.0,
dropout_wd_attnTrue_pca8,dropout_wd,True,8,0.4,0.5,0.001,0.001,0.2993055555555555,0.0,0.0,
dropout_wd_attnTrue_pcaNone,dropout_wd,True,,0.4,0.5,0.001,0.001,0.42222222222222217,0.0,0.0,
dropout_wd_attnFalse_pca2,dropout_wd,False,2,0.4,0.5,0.001,0.001,0.2173611111111111,0.0,0.0,
dropout_wd_attnFalse_pca4,dropout_wd,False,4,0.4,0.5,0.001,0.001,0.34791666666666665,0.0,0.0,
dropout_wd_attnFalse_pca8,dropout_wd,False,8,0.4,0.5,0.001,0.001,0.27638888888888885,0.0,0.0,
dropout_wd_attnFalse_pcaNone,dropout_wd,False,,0.4,0.5,0.001,0.001,0.40555555555555556,0.0,0.0,
dropout_lr_attnTrue_pca2,dropout_lr,True,2,0.4,0.1,0.0005,0.001,0.18472222222222223,0.0,0.0,
dropout_lr_attnTrue_pca4,dropout_lr,True,4,0.4,0.1,0.0005,0.001,0.3284722222222222,0.0,0.0,
dropout_lr_attnTrue_pca8,dropout_lr,True,8,0.4,0.1,0.0005,0.001,0.30069444444444443,0.0,0.0,
dropout_lr_attnTrue_pcaNone,dropout_lr,True,,0.4,0.1,0.0005,0.001,0.517361111111111,0.0,0.0,
dropout_lr_attnFalse_pca2,dropout_lr,False,2,0.4,0.1,0.0005,0.001,0.32847222222222217,0.0,0.0,
dropout_lr_attnFalse_pca4,dropout_lr,False,4,0.4,0.1,0.0005,0.001,0.28125,0.0,0.0,
dropout_lr_attnFalse_pca8,dropout_lr,False,8,0.4,0.1,0.0005,0.001,0.28680555555555554,0.0,0.0,
dropout_lr_attnFalse_pcaNone,dropout_lr,False,,0.4,0.1,0.0005,0.001,0.4131944444444444,0.0,0.0,
wd_lr_attnTrue_pca2,wd_lr,True,2,0.2,0.5,0.0005,0.001,0.28680555555555554,0.0,0.0,
wd_lr_attnTrue_pca4,wd_lr,True,4,0.2,0.5,0.0005,0.001,0.41874999999999996,0.0,0.0,
wd_lr_attnTrue_pca8,wd_lr,True,8,0.2,0.5,0.0005,0.001,0.24027777777777776,0.0,0.0,
wd_lr_attnTrue_pcaNone,wd_lr,True,,0.2,0.5,0.0005,0.001,0.5465277777777777,0.0,0.0,
wd_lr_attnFalse_pca2,wd_lr,False,2,0.2,0.5,0.0005,0.001,0.31666666666666665,0.0,0.0,
wd_lr_attnFalse_pca4,wd_lr,False,4,0.2,0.5,0.0005,0.001,0.36319444444444443,0.0,0.0,
wd_lr_attnFalse_pca8,wd_lr,False,8,0.2,0.5,0.0005,0.001,0.23958333333333331,0.0,0.0,
wd_lr_attnFalse_pcaNone,wd_lr,False,,0.2,0.5,0.0005,0.001,0.1986111111111111,0.0,0.0,
