run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
higher_dropout_attnFalse_losshuber_pca2,higher_dropout,False,huber,2,0.4,0.1,0.001,0.001,0.25416666666666665,0.2145311265720034,0.3340115951917445,
higher_dropout_attnFalse_losshuber_pca4,higher_dropout,False,huber,4,0.4,0.1,0.001,0.001,0.328125,0.2567763237333052,0.31070189344851923,
higher_dropout_attnFalse_losshuber_pca8,higher_dropout,False,huber,8,0.4,0.1,0.001,0.001,0.5319444444444444,0.28967742986949085,0.3583227882627398,
higher_dropout_attnFalse_losshuber_pcaNone,higher_dropout,False,huber,,0.4,0.1,0.001,0.001,0.41666666666666663,0.07291547341613863,0.21537270327098668,
higher_dropout_attnFalse_lossmse_pca2,higher_dropout,False,mse,2,0.4,0.1,0.001,0.001,0.3798611111111111,0.3031662700105555,0.34800417981265735,
higher_dropout_attnFalse_lossmse_pca4,higher_dropout,False,mse,4,0.4,0.1,0.001,0.001,0.3878472222222222,0.17209539033680418,0.24120830821145017,
higher_dropout_attnFalse_lossmse_pca8,higher_dropout,False,mse,8,0.4,0.1,0.001,0.001,0.30277777777777776,0.07399627061193452,0.19058477932897708,
higher_dropout_attnFalse_lossmse_pcaNone,higher_dropout,False,mse,,0.4,0.1,0.001,0.001,0.24791666666666667,0.0775918380191514,0.21885981007168692,
higher_dropout_attnFalse_lossmae_pca2,higher_dropout,False,mae,2,0.4,0.1,0.001,0.001,0.3729166666666667,10.60912899372842,0.9106266969271625,
higher_dropout_attnFalse_lossmae_pca4,higher_dropout,False,mae,4,0.4,0.1,0.001,0.001,0.3694444444444444,0.42131973738582573,0.3208040810034921,
higher_dropout_attnFalse_lossmae_pca8,higher_dropout,False,mae,8,0.4,0.1,0.001,0.001,0.36111111111111105,0.40244970245871964,0.46413720849280554,
higher_dropout_attnFalse_lossmae_pcaNone,higher_dropout,False,mae,,0.4,0.1,0.001,0.001,0.35,0.045138079267966855,0.14285042781072357,
highest_dropout_attnTrue_losshuber_pca2,highest_dropout,True,huber,2,0.5,0.1,0.001,0.001,0.3020833333333333,0.7271769739547901,0.4123117033547411,
highest_dropout_attnTrue_losshuber_pca4,highest_dropout,True,huber,4,0.5,0.1,0.001,0.001,0.29756944444444444,0.2497463568112519,0.37696356188583496,
highest_dropout_attnTrue_losshuber_pca8,highest_dropout,True,huber,8,0.5,0.1,0.001,0.001,0.18958333333333333,0.30244941218148846,0.3878492841807505,
highest_dropout_attnTrue_losshuber_pcaNone,highest_dropout,True,huber,,0.5,0.1,0.001,0.001,0.33125,0.07672797807502371,0.2164553024340421,
highest_dropout_attnTrue_lossmse_pca2,highest_dropout,True,mse,2,0.5,0.1,0.001,0.001,0.284375,0.18402767869387207,0.3699422337037201,
highest_dropout_attnTrue_lossmse_pca4,highest_dropout,True,mse,4,0.5,0.1,0.001,0.001,0.22916666666666666,0.713844496210646,0.4842795171619704,
highest_dropout_attnTrue_lossmse_pca8,highest_dropout,True,mse,8,0.5,0.1,0.001,0.001,0.19965277777777773,0.29733364401147705,0.3587632335256785,
highest_dropout_attnTrue_lossmse_pcaNone,highest_dropout,True,mse,,0.5,0.1,0.001,0.001,0.30590277777777775,0.1009096340070935,0.2377671617238472,
highest_dropout_attnTrue_lossmae_pca2,highest_dropout,True,mae,2,0.5,0.1,0.001,0.001,0.32132936507936505,0.8258097704685334,0.5769062090742711,
highest_dropout_attnTrue_lossmae_pca4,highest_dropout,True,mae,4,0.5,0.1,0.001,0.001,0.2642361111111111,4.450652710188941,0.9349336025770754,
highest_dropout_attnTrue_lossmae_pca8,highest_dropout,True,mae,8,0.5,0.1,0.001,0.001,0.22743055555555552,0.35054293141841364,0.33816963674811024,
highest_dropout_attnTrue_lossmae_pcaNone,highest_dropout,True,mae,,0.5,0.1,0.001,0.001,0.43105158730158727,0.035085792234834046,0.14327521335023147,
highest_dropout_attnFalse_losshuber_pca2,highest_dropout,False,huber,2,0.5,0.1,0.001,0.001,0.16319444444444442,0.07258008404912639,0.19386558863334358,
highest_dropout_attnFalse_losshuber_pca4,highest_dropout,False,huber,4,0.5,0.1,0.001,0.001,0.40520833333333334,0.3176673352806013,0.32628079047814634,
highest_dropout_attnFalse_losshuber_pca8,highest_dropout,False,huber,8,0.5,0.1,0.001,0.001,0.2875,0.07187775233604093,0.20935243624262512,
highest_dropout_attnFalse_losshuber_pcaNone,highest_dropout,False,huber,,0.5,0.1,0.001,0.001,0.47604166666666664,0.06965634875160404,0.21154786576516926,
highest_dropout_attnFalse_lossmse_pca2,highest_dropout,False,mse,2,0.5,0.1,0.001,0.001,0.30625,0.5625565410924485,0.49329193448647857,
highest_dropout_attnFalse_lossmse_pca4,highest_dropout,False,mse,4,0.5,0.1,0.001,0.001,0.27604166666666663,0.40458946694385783,0.38185507454909384,
