run,experiment,attention,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
lowest_lr_attnTrue_pca8,lowest_lr,True,8,0.2,0.1,0.0001,0.001,0.21388888888888888,0.0,0.0,
lowest_lr_attnTrue_pcaNone,lowest_lr,True,,0.2,0.1,0.0001,0.001,0.39444444444444443,0.0,0.0,
lowest_lr_attnFalse_pca2,lowest_lr,False,2,0.2,0.1,0.0001,0.001,0.2472222222222222,0.0,0.0,
lowest_lr_attnFalse_pca4,lowest_lr,False,4,0.2,0.1,0.0001,0.001,0.18333333333333335,0.0,0.0,
lowest_lr_attnFalse_pca8,lowest_lr,False,8,0.2,0.1,0.0001,0.001,0.10833333333333332,0.0,0.0,
lowest_lr_attnFalse_pcaNone,lowest_lr,False,,0.2,0.1,0.0001,0.001,0.37569444444444444,0.0,0.0,
higher_lambda_entropy_attnTrue_pca2,higher_lambda_entropy,True,2,0.2,0.1,0.001,0.01,0.5215277777777778,0.0,0.0,
higher_lambda_entropy_attnTrue_pca4,higher_lambda_entropy,True,4,0.2,0.1,0.001,0.01,0.45833333333333326,0.0,0.0,
higher_lambda_entropy_attnTrue_pca8,higher_lambda_entropy,True,8,0.2,0.1,0.001,0.01,0.2798611111111111,0.0,0.0,
higher_lambda_entropy_attnTrue_pcaNone,higher_lambda_entropy,True,,0.2,0.1,0.001,0.01,0.6666666666666667,0.0,0.0,
higher_lambda_entropy_attnFalse_pca2,higher_lambda_entropy,False,2,0.2,0.1,0.001,0.01,0.4722222222222222,0.0,0.0,
higher_lambda_entropy_attnFalse_pca4,higher_lambda_entropy,False,4,0.2,0.1,0.001,0.01,0.37569444444444444,0.0,0.0,
higher_lambda_entropy_attnFalse_pca8,higher_lambda_entropy,False,8,0.2,0.1,0.001,0.01,0.4701388888888889,0.0,0.0,
higher_lambda_entropy_attnFalse_pcaNone,higher_lambda_entropy,False,,0.2,0.1,0.001,0.01,0.5958333333333333,0.0,0.0,
highest_lambda_entropy_attnTrue_pca2,highest_lambda_entropy,True,2,0.2,0.1,0.001,0.1,0.48680555555555555,0.0,0.0,
highest_lambda_entropy_attnTrue_pca4,highest_lambda_entropy,True,4,0.2,0.1,0.001,0.1,0.46041666666666664,0.0,0.0,
highest_lambda_entropy_attnTrue_pca8,highest_lambda_entropy,True,8,0.2,0.1,0.001,0.1,0.38749999999999996,0.0,0.0,
highest_lambda_entropy_attnTrue_pcaNone,highest_lambda_entropy,True,,0.2,0.1,0.001,0.1,0.7041666666666666,0.0,0.0,
highest_lambda_entropy_attnFalse_pca2,highest_lambda_entropy,False,2,0.2,0.1,0.001,0.1,0.48819444444444443,0.0,0.0,
highest_lambda_entropy_attnFalse_pca4,highest_lambda_entropy,False,4,0.2,0.1,0.001,0.1,0.3729166666666667,0.0,0.0,
highest_lambda_entropy_attnFalse_pca8,highest_lambda_entropy,False,8,0.2,0.1,0.001,0.1,0.39444444444444443,0.0,0.0,
highest_lambda_entropy_attnFalse_pcaNone,highest_lambda_entropy,False,,0.2,0.1,0.001,0.1,0.5298611111111111,0.0,0.0,
dropout_wd_attnTrue_pca2,dropout_wd,True,2,0.4,0.5,0.001,0.001,0.3277777777777778,0.0,0.0,
dropout_wd_attnTrue_pca4,dropout_wd,True,4,0.4,0.5,0.001,0.001,0.3736111111111111,0.0,0.0,
dropout_wd_attnTrue_pca8,dropout_wd,True,8,0.4,0.5,0.001,0.001,0.44861111111111107,0.0,0.0,
dropout_wd_attnTrue_pcaNone,dropout_wd,True,,0.4,0.5,0.001,0.001,0.3979166666666667,0.0,0.0,
dropout_wd_attnFalse_pca2,dropout_wd,False,2,0.4,0.5,0.001,0.001,0.4180555555555555,0.0,0.0,
dropout_wd_attnFalse_pca4,dropout_wd,False,4,0.4,0.5,0.001,0.001,0.2868055555555556,0.0,0.0,
dropout_wd_attnFalse_pca8,dropout_wd,False,8,0.4,0.5,0.001,0.001,0.35625,0.0,0.0,
dropout_wd_attnFalse_pcaNone,dropout_wd,False,,0.4,0.5,0.001,0.001,0.3402777777777778,0.0,0.0,
dropout_lr_attnTrue_pca2,dropout_lr,True,2,0.4,0.1,0.0005,0.001,0.2993055555555555,0.0,0.0,
dropout_lr_attnTrue_pca4,dropout_lr,True,4,0.4,0.1,0.0005,0.001,0.2972222222222222,0.0,0.0,
dropout_lr_attnTrue_pca8,dropout_lr,True,8,0.4,0.1,0.0005,0.001,0.26736111111111105,0.0,0.0,
dropout_lr_attnTrue_pcaNone,dropout_lr,True,,0.4,0.1,0.0005,0.001,0.5013888888888889,0.0,0.0,
dropout_lr_attnFalse_pca2,dropout_lr,False,2,0.4,0.1,0.0005,0.001,0.3368055555555556,0.0,0.0,
dropout_lr_attnFalse_pca4,dropout_lr,False,4,0.4,0.1,0.0005,0.001,0.2513888888888889,0.0,0.0,
dropout_lr_attnFalse_pca8,dropout_lr,False,8,0.4,0.1,0.0005,0.001,0.3472222222222222,0.0,0.0,
dropout_lr_attnFalse_pcaNone,dropout_lr,False,,0.4,0.1,0.0005,0.001,0.38402777777777775,0.0,0.0,
wd_lr_attnTrue_pca2,wd_lr,True,2,0.2,0.5,0.0005,0.001,0.2465277777777778,0.0,0.0,
wd_lr_attnTrue_pca4,wd_lr,True,4,0.2,0.5,0.0005,0.001,0.38402777777777775,0.0,0.0,
wd_lr_attnTrue_pca8,wd_lr,True,8,0.2,0.5,0.0005,0.001,0.18819444444444444,0.0,0.0,
wd_lr_attnTrue_pcaNone,wd_lr,True,,0.2,0.5,0.0005,0.001,0.43680555555555556,0.0,0.0,
wd_lr_attnFalse_pca2,wd_lr,False,2,0.2,0.5,0.0005,0.001,0.4756944444444444,0.0,0.0,
wd_lr_attnFalse_pca4,wd_lr,False,4,0.2,0.5,0.0005,0.001,0.24722222222222223,0.0,0.0,
wd_lr_attnFalse_pca8,wd_lr,False,8,0.2,0.5,0.0005,0.001,0.3972222222222222,0.0,0.0,
wd_lr_attnFalse_pcaNone,wd_lr,False,,0.2,0.5,0.0005,0.001,0.32013888888888886,0.0,0.0,
all_moderate_attnTrue_pca2,all_moderate,True,2,0.4,0.5,0.0005,0.01,0.28125,0.0,0.0,
all_moderate_attnTrue_pca4,all_moderate,True,4,0.4,0.5,0.0005,0.01,0.34444444444444444,0.0,0.0,
all_moderate_attnTrue_pca8,all_moderate,True,8,0.4,0.5,0.0005,0.01,0.32013888888888886,0.0,0.0,
all_moderate_attnTrue_pcaNone,all_moderate,True,,0.4,0.5,0.0005,0.01,0.4125,0.0,0.0,
all_moderate_attnFalse_pca2,all_moderate,False,2,0.4,0.5,0.0005,0.01,0.23472222222222222,0.0,0.0,
all_moderate_attnFalse_pca4,all_moderate,False,4,0.4,0.5,0.0005,0.01,0.29375,0.0,0.0,
all_moderate_attnFalse_pca8,all_moderate,False,8,0.4,0.5,0.0005,0.01,0.32430555555555557,0.0,0.0,
all_moderate_attnFalse_pcaNone,all_moderate,False,,0.4,0.5,0.0005,0.01,0.35277777777777775,0.0,0.0,
all_strong_attnTrue_pca2,all_strong,True,2,0.5,1.0,0.0001,0.1,0.24166666666666664,0.0,0.0,
all_strong_attnTrue_pca4,all_strong,True,4,0.5,1.0,0.0001,0.1,0.12708333333333333,0.0,0.0,
all_strong_attnTrue_pca8,all_strong,True,8,0.5,1.0,0.0001,0.1,0.24513888888888885,0.0,0.0,
all_strong_attnTrue_pcaNone,all_strong,True,,0.5,1.0,0.0001,0.1,0.30972222222222223,0.0,0.0,
all_strong_attnFalse_pca2,all_strong,False,2,0.5,1.0,0.0001,0.1,0.12152777777777778,0.0,0.0,
all_strong_attnFalse_pca4,all_strong,False,4,0.5,1.0,0.0001,0.1,0.21527777777777776,0.0,0.0,
all_strong_attnFalse_pca8,all_strong,False,8,0.5,1.0,0.0001,0.1,0.3055555555555556,0.0,0.0,
all_strong_attnFalse_pcaNone,all_strong,False,,0.5,1.0,0.0001,0.1,0.3076388888888889,0.0,0.0,
