region,cell_type,run,experiment,gene_encoder,attention,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
PFC,Microglia,geTrue_attnFalse_pca8_lowest_lr,lowest_lr,True,False,8,0.3013888888888889,0.0,0.0,0.2,0.1,0.0001,0.001,
PFC,Microglia,geTrue_attnFalse_pca8_higher_lambda_entropy,higher_lambda_entropy,True,False,8,0.2833333333333333,0.0,0.0,0.2,0.1,0.001,0.01,
PFC,Microglia,geTrue_attnFalse_pca8_highest_lambda_entropy,highest_lambda_entropy,True,False,8,0.24722222222222223,0.0,0.0,0.2,0.1,0.001,0.1,
PFC,Microglia,geTrue_attnFalse_pca8_dropout_wd,dropout_wd,True,False,8,0.44166666666666665,0.0,0.0,0.4,0.5,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca8_dropout_lr,dropout_lr,True,False,8,0.43680555555555556,0.0,0.0,0.4,0.1,0.0005,0.001,
PFC,Microglia,geTrue_attnFalse_pca8_wd_lr,wd_lr,True,False,8,0.4111111111111111,0.0,0.0,0.2,0.5,0.0005,0.001,
PFC,Microglia,geTrue_attnFalse_pca8_all_moderate,all_moderate,True,False,8,0.34305555555555556,0.0,0.0,0.4,0.5,0.0005,0.01,
PFC,Microglia,geTrue_attnFalse_pca8_all_strong,all_strong,True,False,8,0.2951388888888889,0.0,0.0,0.5,1.0,0.0001,0.1,
PFC,Microglia,geTrue_attnFalse_pca16_baseline,baseline,True,False,16,0.37083333333333335,0.0,0.0,0.2,0.1,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca16_higher_dropout,higher_dropout,True,False,16,0.3722222222222222,0.0,0.0,0.4,0.1,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca16_highest_dropout,highest_dropout,True,False,16,0.37916666666666665,0.0,0.0,0.5,0.1,0.001,0.001,
